handle	kind	old_id	new_id	old_path	new_path	title
kutod	DI	DI-001-20260309-172358	DI-kutod	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260309-172358	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-kutod	Default to running `make` as root (via passwordless `sudo -n` when needed), export `DECOMK_DEV_USER`/`DECOMK_MAKE_USER` so Makefiles can drop privileges explicitly, and avoid guessing dev usernames in the reference devcontainer bootstrap (warn + run as root when unknown).
votit	DI	DI-001-20260311-161825	DI-votit	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260311-161825	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-votit	Add a first-class `decomk init` subcommand that installs `.devcontainer/devcontainer.json` and `.devcontainer/postCreateCommand.sh` from templates embedded in the decomk binary, using CLI flags or interactive prompts to populate workspace-specific values.
lutun	DI	DI-001-20260311-163942	DI-lutun	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260311-163942	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-lutun	Make stage-0 tool bootstrap install-first by default (`go install`), with optional clone mode that runs `go install ./cmd/decomk` in a pulled repo.
kobip	DI	DI-001-20260311-164841	DI-kobip	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260311-164841	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-kobip	When `decomk init` is run without `-repo-root`, resolve the target repo to the git toplevel of the current working directory instead of using `.`.
hojij	DI	DI-001-20260311-175002	DI-hojij	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260311-175002	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-hojij	Make scaffold file writes atomic in `decomk init`, and validate `DECOMK_TOOL_INSTALL_PKG` only when `DECOMK_TOOL_MODE=install`.
vafak	DI	DI-001-20260312-130300	DI-vafak	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260312-130300	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-vafak	Use one canonical scaffold template contract (`cmd/decomk/templates/*`) for `decomk init` and generated example files, with `go generate` + `scaffoldgen` + tests enforcing drift checks.
tikub	DI	DI-001-20260312-141200	DI-tikub	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260312-141200	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-tikub	Rename internal generator/renderer naming from `scaffold`/`scaffoldgen` to `stage0`/`stage0gen`.
vukaz	DI	DI-001-20260313-174538	DI-vukaz	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260313-174538	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-vukaz	Keep tuple-driven `PATH` behavior in the canonical cooked env contract and do not split launcher-path semantics from make/recipe env semantics.
zugaf	DI	DI-001-20260313-183500	DI-zugaf	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260313-183500	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-zugaf	"Make `examples/devcontainer/devcontainer.json` a standalone runnable example by generating a `build` entry (`Dockerfile`, context `"".""`) and `remoteUser: ""dev""`, and add a companion `examples/devcontainer/Dockerfile`."
vojik	DI	DI-001-20260313-224000	DI-vojik	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260313-224000	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-vojik	Treat env export as a first-class runtime contract by resolving `NAME=$` passthrough tuples against incoming environment values (with prior-tuple fallback and fail-fast when unresolved), auto-carrying incoming `DECOMK_*` vars, and generating both `env.sh` and make invocation variables from one canonical tuple sequence.
rokuk	DI	DI-001-20260412-170500	DI-rokuk	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260412-170500	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-rokuk	Replace stage-0 tool/config source inputs with URI expressions (`DECOMK_TOOL_URI`, `DECOMK_CONF_URI`) and update `decomk init` to scaffold only URI-based devcontainer values.
gofil	DI	DI-001-20260412-194342	DI-gofil	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260412-194342	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-gofil	Make `decomk init` refuse to write when either target stage-0 file already exists unless `-force`/`-f` is set; when refusing, do not emit alternate files and instead print a commit/force/difftool reconciliation workflow. Also add non-edit banners to stage-0 templates and reorganize README around decomk philosophy + shared-conf onboarding.
dumir	DI	DI-001-20260416-222700	DI-dumir	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260416-222700	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-dumir	Split stage-0 lifecycle into two explicit entrypoints by generating `updateContentCommand` and `postCreateCommand` hooks that both call `.devcontainer/decomk-stage0.sh` with phase arguments (`update-content` and `post-create` respectively).
hihob	DI	DI-001-20260416-223600	DI-hihob	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260416-223600	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-hihob	Use camelCase phase arguments in stage-0 hook invocations (`updateContent`, `postCreate`) instead of kebab-case.
jagaf	DI	DI-001-20260420-161700	DI-jagaf	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260420-161700	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-jagaf	Remove TODO subtasks `001.6` and `001.7` from TODO 001 because they are no longer valid work items.
pabul	DI	DI-001-20260421-221834	DI-pabul	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260421-221834	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-pabul	Track TODO `001.8` execution details in a dedicated cross-repo checklist file (`TODO/012-mob-sandbox-pilot.md`) instead of embedding those details in TODO 001.
jasoh	DI	DI-001-20260422-110600	DI-jasoh	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260422-110600	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-jasoh	Track shared config repo scaffolding as a dedicated follow-on workstream (`TODO/013-conf-repo-init-scaffolding.md`) and reference it from TODO 001 via a new subtask.
honob	DI	DI-001-20260422-130000	DI-honob	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260422-130000	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-honob	In root-make mode, make `resolveMakeCommand` prefer `sudo --preserve-env=PATH,GITHUB_USER`, fall back to `PATH`-only preserve, then plain `sudo`, while keeping dry-run and non-root modes unchanged.
solis	DI	DI-001-20260423-045924	DI-solis	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260423-045924	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-solis	Add a first-class `decomk version` subcommand that prints one CLI version string and rejects positional args.
linop	DI	DI-001-20260423-051500	DI-linop	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260423-051500	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-linop	Make `decomk init` refuse existing stage-0 targets before any interactive prompts, and change the canonical default `DECOMK_TOOL_URI` from `@stable` to `@latest`.
zofav	DI	DI-001-20260423-140628	DI-zofav	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260423-140628	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-zofav	Add `image` rendering support to the stage-0 devcontainer template (defaulting to a canonical base image when no build dockerfile is set), and make `decomk init` reuse values from an existing `.devcontainer/devcontainer.json` as defaults when rerunning with `-f`.
gavaj	DI	DI-001-20260423-204251	DI-gavaj	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260423-204251	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-gavaj	Make `VERSION` the canonical source for CLI release version, generate `cmd/decomk/version_generated.go` from it via `go generate`, add `make release-minor` backed by `scripts/release.sh` to bump minor version + commit + tag + push, and have `decomk version` default to the generated value.
bonop	DI	DI-001-20260424-190437	DI-bonop	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260424-190437	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-bonop	Unify repo bootstrap flows under `decomk init` with `-conf` producer mode, remove separate `init-conf` command, and make consumer identity (`DECOMK_DEV_USER`/`DECOMK_DEV_UID`) conf-driven by cloning the producer conf repo and reading `.devcontainer/devcontainer.json`.
nozok	DI	DI-001-20260424-193612	DI-nozok	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260424-193612	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-nozok	Use the same default devcontainer name resolution for `decomk init -conf` as consumer `decomk init`: repo root basename when `-name` is not set and no existing value is reused.
kataj	DI	DI-001-20260424-200248	DI-kataj	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260424-200248	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-kataj	Move privilege escalation to stage-0 startup (`sudo -n -E` self-exec), remove `decomk run` sudo/make-as-root controls, and require root for `decomk run`.
pihaz	DI	DI-001-20260424-211213	DI-pihaz	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260424-211213	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-pihaz	Add a stage-0 Go toolchain preflight after root escalation and use the resolved absolute Go binary path for all `go env`/`go install` calls.
lafib	DI	DI-001-20260424-215415	DI-lafib	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260424-215415	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-lafib	Replace `DECOMK_DEV_USER`/`DECOMK_DEV_UID` with `DECOMK_REMOTE_USER`/`DECOMK_REMOTE_UID` across init templates, init flags/prompts, stage-0 env contracts, and computed make metadata; add a pre-escalation stage-0 identity gate that fails when runtime user/uid do not match `DECOMK_REMOTE_*`.
lobin	DI	DI-001-20260425-005155	DI-lobin	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260425-005155	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-lobin	Standardize decomk-owned test/codespaces devcontainer identities on username `dev` with UID `1000`, and encode that explicitly in generated devcontainer/Dockerfile scaffolds (`remoteUser`/`containerUser` + no UID remap).
zopat	DI	DI-001-20260425-113454	DI-zopat	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260425-113454	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-zopat	Make image-level `DECOMK_REMOTE_USER`/`DECOMK_REMOTE_UID` the canonical init identity source by removing those keys (and `remoteUser`/`containerUser`) from generated producer+consumer `devcontainer.json`, keeping `updateRemoteUserUID=false`, and emitting identity in the producer Dockerfile template via `ENV` lines.
roraj	DI	DI-001-20260425-232447	DI-roraj	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260425-232447	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-roraj	In `decomk init -conf`, use option 2 as the canonical flow: prompt for base image (using `-image`) plus `DECOMK_REMOTE_USER`/`DECOMK_REMOTE_UID`, generate a runnable producer Dockerfile with decomk prerequisites and identity `ENV` lines, and on `-conf -f` prefill defaults by parsing existing `.devcontainer/Dockerfile` (`first FROM`, `ENV DECOMK_REMOTE_USER`, `ENV DECOMK_REMOTE_UID`).
fopat	DI	DI-001-20260427-200729	DI-fopat	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260427-200729	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-fopat	For image-consumer `decomk init`, switch to minimal consumer devcontainer output (`name` + `image`) with image resolution via `-image` or `-conf-url` (HTTP(S)+optional `?ref=`), keep producer-only flags recognized but misuse-checked in consumer mode (`-<flag> is only valid with -conf` + usage), and prepend an image producer/image consumer note to init help while keeping flat Go flag output.
sugit	DI	DI-001-20260428-041115	DI-sugit	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260428-041115	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-sugit	Print the exact make argv on stdout immediately before decomk executes make in both `plan` and `run` modes.
vikid	DI	DI-001-20260502-233406	DI-vikid	TODO/001-decomk-devcontainer-tool-bootstrap.md#DI-001-20260502-233406	TODO/TODO-jirin-decomk-devcontainer-tool-bootstrap.md#DI-vikid	Use moving git branches `testing` and `stable` as the canonical tool-install channels for this repo, keep `VERSION` git tags as immutable releases, default generated `DECOMK_TOOL_URI` to the `stable` branch, and promote branches explicitly in the order `main -> testing -> stable`.
gusab	DI	DI-004-20260422-193652	DI-gusab	TODO/004-isconf-flow-alignment.md#DI-004-20260422-193652	TODO/TODO-takoh-isconf-flow-alignment.md#DI-gusab	Treat `decomk.conf` as tuple/macro policy only (no bare literal targets), require at least one positional action arg for both `decomk plan` and `decomk run`, and pass lifecycle phase selectors (`updateContent`/`postCreate`) as explicit action args from stage-0.
miduh	DI	DI-005-20260309-172359	DI-miduh	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260309-172359	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-miduh	Prefer `/var/log/decomk` for per-run logs, support explicit overrides via `-log-dir`/`DECOMK_LOG_DIR`, and fall back to `<DECOMK_HOME>/log` only when the default log root is not writable; also standardize terminology on “log” (remove “audit”).
fomof	DI	DI-005-20260424-110139	DI-fomof	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260424-110139	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-fomof	After each `decomk run` make invocation completes (success or failure), write `/etc/motd.d/98-decomk` with a stamp/context/target summary and phase-scoped status line; if `/etc/motd.d` is not writable, write a fallback status file at `<DECOMK_HOME>/stage0/failure/98-decomk` and warn without changing make-result exit semantics.
logaz	DI	DI-005-20260424-124347	DI-logaz	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260424-124347	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-logaz	Record the runtime decomk binary version in `<DECOMK_HOME>/env.sh` as `DECOMK_VERSION`, exported on every `decomk run`.
jagot	DI	DI-005-20260424-131352	DI-jagot	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260424-131352	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-jagot	Before writing `/etc/motd.d/98-decomk`, proactively prepare the parent directory by ensuring it exists and is owned by the current user (`mkdir -p` + `chown`) so MOTD write attempts succeed in non-root devcontainer runs; if preparation or write still fails, keep fallback-to-`<DECOMK_HOME>/stage0/failure/98-decomk` warning behavior.
tuhul	DI	DI-005-20260424-141017	DI-tuhul	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260424-141017	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-tuhul	Replace hardcoded MOTD summary path `98-decomk` with phase-driven mapping from tuple `DECOMK_MOTD_PHASES='NN:phase,...'`, sourced from canonical resolved tuples; if the tuple is unset, or current `DECOMK_STAGE0_PHASE` is unset/not mapped, skip MOTD writes; invalid mapping is a hard error.
birig	DI	DI-005-20260424-142032	DI-birig	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260424-142032	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-birig	If `DECOMK_MOTD_PHASES` includes a `version` mapping (for example `88:version`), `decomk run` writes that MOTD file in addition to the phase-mapped run summary file.
jihuz	DI	DI-005-20260424-143700	DI-jihuz	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260424-143700	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-jihuz	Format the `version` MOTD file with a leading blank line before `decomk version:` and do not include a `runtime phase:` line.
kidaj	DI	DI-005-20260426-013218	DI-kidaj	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260426-013218	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-kidaj	Make decomk-managed files under `DECOMK_HOME` world-readable by default: write `<DECOMK_HOME>/env.sh` with mode `0644` and create lock files (`decomk.lock`, `conf.lock`, `stamps/.lock`) with mode `0644`.
kudam	DI	DI-005-20260429-005528	DI-kudam	TODO/005-decomk-log-dir-and-terminology.md#DI-005-20260429-005528	TODO/TODO-mirut-decomk-log-dir-and-terminology.md#DI-kudam	Render the stamp summary in each run-phase MOTD file as one space-delimited line instead of one line per stamp file.
vubol	DI	DI-006-20260416-222900	DI-vubol	TODO/006-decomk-user-customization-via-github-user.md#DI-006-20260416-222900	TODO/TODO-bitum-decomk-user-customization-via-github-user.md#DI-vubol	Treat `GITHUB_USER` as runtime-only identity data and tie user customization to the runtime `postCreate` phase, while reserving `updateContent` for prebuild/common work where `GITHUB_USER` can be empty.
pojop	DI	DI-006-20260419-114524	DI-pojop	TODO/006-decomk-user-customization-via-github-user.md#DI-006-20260419-114524	TODO/TODO-bitum-decomk-user-customization-via-github-user.md#DI-pojop	Use platform-native dotfiles support as the default path for personal user setup; keep decomk focused on deterministic repo/org policy and optional user-phase make targets.
lumos	DI	DI-006-20260419-115209	DI-lumos	TODO/006-decomk-user-customization-via-github-user.md#DI-006-20260419-115209	TODO/TODO-bitum-decomk-user-customization-via-github-user.md#DI-lumos	Make the per-user bootstrap helper non-optional for TODO 006 and explicitly choose its placement as a required design decision.
zoban	DI	DI-007-20260309-114541	DI-zoban	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260309-114541	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-zoban	Standardize devcontainer execution on DevPod with a GCP machine provider, and migrate from Codespaces using a dual-run transition.
misov	DI	DI-007-20260309-124345	DI-misov	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260309-124345	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-misov	Implement an automated self-test harness for local DevPod with Docker provider under `examples/decomk-selftest`, make Codespaces parity checks the next stage, and defer remote GCP-provider test automation until a later move-to-GCP decision.
libor	DI	DI-007-20260309-180029	DI-libor	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260309-180029	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-libor	Refactor the local DevPod self-test harness so `decomk run SELFTEST_*` drives scenario execution from fixture `decomk.conf` + `Makefile` + scripts, while the outer harness only provisions a workspace and reads result files.
visin	DI	DI-007-20260309-193525	DI-visin	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260309-193525	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-visin	Make self-test selector strings identical across `run.sh --subtests`, `decomk run` action args, and fixture tuple names (with `all` as the aggregate selector).
jidub	DI	DI-007-20260309-222412	DI-jidub	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260309-222412	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-jidub	Make `run.sh` pass raw `decomk run` arguments into the container, use literal Makefile targets as the primary selectors, and validate executed scenarios via an in-container `executed.list` manifest instead of a selector-expansion table.
rujam	DI	DI-007-20260311-101409	DI-rujam	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260311-101409	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-rujam	Remove harness compatibility flags and context overrides; make run.sh publish a temporary fixture config repo over git://, use a minimal production-identical postCreate hook that only sets `DECOMK_CONF_REPO` and runs decomk, and validate results by parsing container make logs for PASS/FAIL markers.
lipat	DI	DI-007-20260311-145221	DI-lipat	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260311-145221	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-lipat	Move decomk tool/config clone-pull responsibilities into generic stage-0 postCreate bootstrap, have run.sh serve both repos over git:// and inject `DECOMK_TOOL_REPO` + `DECOMK_CONF_REPO` directly, and remove decomk core self-update/config-pull side effects from `decomk run`.
juvum	DI	DI-007-20260313-101500	DI-juvum	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260313-101500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-juvum	Remove `.PHONY` from idempotent selftest fixture targets and add explicit stamp regression checks (probe + verify) in the DevPod harness, plus a core `cmdRun` unit test that asserts make runs in `<DECOMK_HOME>/stamps`.
rigoj	DI	DI-007-20260313-181500	DI-rigoj	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260313-181500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-rigoj	Keep the aggregate `all` selftest target explicitly phony and never stamp it, while retaining stamp semantics for idempotent leaf targets.
vasip	DI	DI-007-20260412-042700	DI-vasip	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260412-042700	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-vasip	Keep local Codespaces harness artifacts under `/tmp/decomk-codespaces.*` by default after successful runs, with an explicit `--cleanup` flag to opt into removal.
topir	DI	DI-007-20260412-043200	DI-topir	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260412-043200	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-topir	Add root `make` wrappers for local DevPod and Codespaces selftests, including an explicit cleanup variant for Codespaces runs.
zulir	DI	DI-007-20260412-171000	DI-zulir	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260412-171000	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-zulir	Switch selftest stage-0 fixture wiring from repo URL vars to URI vars by serving both tool/conf fixtures over `git://` and injecting `DECOMK_TOOL_URI` + `DECOMK_CONF_URI` into generated devcontainer inputs.
tihaj	DI	DI-007-20260412-230000	DI-tihaj	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260412-230000	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-tihaj	Add a Codespaces parity harness (`examples/decomk-selftest/codespaces/run.sh`) that creates a fresh Codespace from the pushed branch under test, injects stage-0 URI env vars, runs production stage-0 bootstrap script, validates fixture PASS/FAIL markers and stamp checks, and then tears down the Codespace by default.
sovif	DI	DI-007-20260413-000500	DI-sovif	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260413-000500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-sovif	Make Codespaces parity harness self-contained by defaulting config source to an auto-generated fixture git repo inside the Codespace, while retaining optional `--conf-uri` override for external fixture repos.
hizim	DI	DI-007-20260413-011500	DI-hizim	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260413-011500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-hizim	Move Codespaces harness devcontainer config under `.devcontainer/` for API compatibility, and default harness creates to a non-interactive machine type (`basicLinux32gb`) with an explicit `--machine` override.
monag	DI	DI-007-20260413-014500	DI-monag	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260413-014500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-monag	Auto-resolve Codespaces machine type from the account-allowed machine list when `--machine` is unset (preferring `basicLinux32gb` when available), while retaining explicit `--machine` override with validation.
fanih	DI	DI-007-20260413-040500	DI-fanih	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260413-040500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-fanih	Resolve Codespaces machine choices from repo-scoped machine API first (`repos/<owner>/<repo>/codespaces/machines`), fall back to legacy user-scoped API when available, and fail fast instead of propagating API error payloads into `--machine`.
pizih	DI	DI-007-20260413-043500	DI-pizih	TODO/007-devpod-gcp-selfhost-migration.md#DI-007-20260413-043500	TODO/TODO-fuviv-devpod-gcp-selfhost-migration.md#DI-pizih	Add progress output (dot ticks with periodic elapsed time) during Codespaces discovery and SSH readiness wait loops.
